well,fault_true,fault_prahari,fault_fixedcal,fault_ml,M_true,M_hat,M_err_pct,tau_err_deg,fillage_true,fillage_hat,fillage_hat_fixedcal,Fo_true,Fo_hat,Fo_err_pct,residual_norm,margin,depth,spm,d_rod
0,normal,sv_leak,sv_leak,normal,79895.46080823243,56002.723680241805,-29.90499946591298,-3.2677968795681616,0.9864505946951848,1.0,1.0,18079.441152630323,27737.409844639547,53.41961961365225,0.089043330828429,0.4801772574569344,1472.216035915703,7.059266149218182,0.0254
1,fluid_pound,gas_interference,gas_interference,sv_leak,30934.75991231617,29640.160901767205,-4.18493311154985,0.4499141603632499,0.6830280797078285,0.8063984879969122,0.4513364492770667,18700.9286572991,6810.510054343012,-63.581968686432994,0.098065161205716,0.0010120606705757,1668.0832837783776,6.49161187681044,0.01905
2,gas_interference,gas_interference,gas_interference,gas_interference,34451.66748712462,36015.16180255693,4.538225373319377,-0.0775516693902563,0.6824653497345583,0.7403035564784204,0.6756408904729749,16632.486612376495,22968.09970174508,38.09179731823235,0.1377216033060928,0.2021086625480277,1359.4928521143056,6.391056096366881,0.01905
3,tv_leak,normal,sv_leak,tv_leak,45313.65138102573,39962.33006448727,-11.809512483426175,-1.8432937974096173,1.0,1.0,1.0,25765.36709818013,27017.84295317582,4.86108290335269,0.1380805743031507,0.020958715176219,1371.9794276195712,6.278825578013746,0.01905
4,sv_leak,sv_leak,normal,sv_leak,77215.92036664984,60083.770383808216,-22.187328599454386,-3.3116210586983788,1.0,1.0,1.0,22201.359541682377,33632.31553502098,51.48763962800263,0.0427881415495875,0.6860368723252548,1260.3608131629876,5.184601752321848,0.0254
5,worn_pump,worn_pump,worn_pump,worn_pump,27472.94118510804,29573.695175554883,7.646629373580052,0.3977438602725954,0.7177822276589929,0.7065407753270808,0.7040397538167213,7165.856369903089,11118.883197464991,55.16475105703748,0.0273718470814525,0.6161635455151101,1161.2516363567083,7.843040993136084,0.0222
6,rod_part,rod_part,sv_leak,rod_part,23331.969260003563,23032.462217612647,-1.2836766543505669,0.2083348460047113,1.0,1.0,1.0,9680.991458844755,14101.814528948176,45.6649826507642,0.0224348715404443,0.2801584846383153,1691.5213515178516,7.371671455856741,0.0222
7,tagging,tagging,worn_pump,tagging,67733.38923693403,67519.93300072355,-0.3151418209175963,-0.0471968102754426,1.0,1.0,0.8472761924703026,18178.858224674183,18152.059180207936,-0.1474187439884187,0.1598018341535111,1.043822712606631,1293.1108722720685,6.201734198465639,0.0254
8,normal,normal,normal,normal,23206.434010307723,29218.74307566364,25.90794028365324,1.3933605201190773,0.9975955993334128,1.0,1.0,15011.1550721139,13322.992895441692,-11.2460511437144,0.0555876589802378,0.584338666898244,846.1569447321065,6.320863613826299,0.01905
9,fluid_pound,normal,sv_leak,sv_leak,40712.686483755206,50605.36061791542,24.29875055802937,0.071060335120303,0.6804882694689267,1.0,1.0,24517.874367111886,24171.874832136466,-1.4112134265584717,0.1462442460950236,0.0111305587666277,1532.5275615504895,7.958842942783734,0.01905
10,gas_interference,gas_interference,gas_interference,gas_interference,59775.096676189794,63611.68316105872,6.4183693514579465,-0.0005204971311749,0.6376314658561988,0.6227660431109372,0.6441739813329282,13815.432068709904,9247.827069327352,-33.06161527678574,0.0570578074207468,2.202558384575777,1096.4590119917757,8.640106983803832,0.0254
11,tv_leak,tv_leak,worn_pump,tagging,39815.16627996036,41133.06017628255,3.3100298691594654,-0.2062700023845217,1.0,1.0,0.65,16912.459101634136,11577.069081450469,-31.547097841425952,0.0870217584261942,0.3989672163979907,1048.8265870638156,8.334413762720011,0.0222
12,sv_leak,sv_leak,sv_leak,normal,38150.54911493284,43658.148518144895,14.436487890697965,1.0755692623276412,1.0,1.0,1.0,27326.51778251673,15867.880125975977,-41.932300879813866,0.0636241894729219,0.2282179653258619,837.330803995074,4.082350041552211,0.0222
